Date,Austria,Belgio,Bulgaria,Repubblica Ceca,Germania,Danimarca,Spagna,Estonia,Finlandia,Francia,Grecia,Croazia,Ungaria,Irlanda,Italia,Lituania,Lussemburgo,Lettonia,Paesi Bassi,Norvegia,Polonia,Portogallo,Romania,Russia EU,Slovacchia,Slovenia,Svezia,Turchia EU,Ucraina
21-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009510446,0
22-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004948022,0,0,0,0,0,0,-0.019020893,0
23-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009896044,0,0,0,0,0,0,-0.028531339,0
24-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014844067,0,0,0,0,0,0,-0.038041786,0
25-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019792089,0,0,0,0,0,0,-0.047552232,0
26-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024740111,0,0,0,0,0,0,-0.057062679,0
27-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007514645,0,0,0,0,0,-0.029688133,0,0,0,0,0,0,-0.066573125,0
28-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015029291,0,0,0,0,0,-0.034636155,0,0,0,0,0,0,-0.066573125,0
29-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022543936,0,0,0,0,0,-0.034636155,0,0,0,0,0,0,-0.066573125,0
30-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030058581,0,0,0,0,0,-0.034636155,0,0,0,0,0,0,-0.066573125,0
31-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037573226,0,0,0,0,0,-0.034636155,0,0,-0.028623062,0,0,0,-0.066573125,0
01-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045087872,0,0,0,0,0,-0.034636155,0,0,-0.057246124,0,0,0,-0.066573125,0
02-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.085869185,0,0,0,-0.066573125,0
03-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.114492247,0,0,0,-0.066573125,0
04-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.143115309,0,0,0,-0.066573125,0
