Data,Liv. Confinamento,Emissioni CO2
27-01-2020,0,-0.007514645
28-01-2020,0,-0.015029291
29-01-2020,0,-0.022543936
30-01-2020,1,-0.030058581
31-01-2020,1,-0.037573226
01-02-2020,1,-0.045087872
02-02-2020,1,-0.052602517
03-02-2020,1,-0.052602517
04-02-2020,1,-0.052602517
05-02-2020,1,-0.052602517
06-02-2020,1,-0.052602517
07-02-2020,1,-0.052602517
08-02-2020,1,-0.052602517
09-02-2020,1,-0.052602517
10-02-2020,1,-0.052602517
11-02-2020,1,-0.052602517
12-02-2020,1,-0.052602517
13-02-2020,1,-0.052602517
14-02-2020,1,-0.052602517
15-02-2020,1,-0.052602517
16-02-2020,1,-0.052602517
17-02-2020,1,-0.052602517
18-02-2020,1,-0.052602517
19-02-2020,1,-0.052602517
20-02-2020,1,-0.071828367
21-02-2020,1,-0.091054217
22-02-2020,1,-0.110280066
23-02-2020,2,-0.129505916
24-02-2020,2,-0.148731766
25-02-2020,2,-0.167957616
26-02-2020,2,-0.187183465
27-02-2020,2,-0.187183465
28-02-2020,2,-0.187183465
29-02-2020,2,-0.187183465
01-03-2020,2,-0.187183465
02-03-2020,2,-0.187183465
03-03-2020,2,-0.187183465
04-03-2020,2,-0.187183465
05-03-2020,2,-0.187183465
06-03-2020,2,-0.199097088
07-03-2020,2,-0.211010711
08-03-2020,2,-0.222924334
09-03-2020,3,-0.234837957
10-03-2020,3,-0.24675158
11-03-2020,3,-0.258665203
12-03-2020,3,-0.270578826
13-03-2020,3,-0.270578826
14-03-2020,3,-0.270578826
15-03-2020,3,-0.270578826
16-03-2020,3,-0.270578826
17-03-2020,3,-0.270578826
18-03-2020,3,-0.270578826
19-03-2020,3,-0.270578826
20-03-2020,3,-0.270578826
21-03-2020,3,-0.270578826
22-03-2020,3,-0.270578826
23-03-2020,3,-0.270578826
24-03-2020,3,-0.270578826
25-03-2020,3,-0.270578826
26-03-2020,3,-0.270578826
27-03-2020,3,-0.270578826
28-03-2020,3,-0.270578826
29-03-2020,3,-0.270578826
30-03-2020,3,-0.270578826
31-03-2020,3,-0.270578826
01-04-2020,3,-0.270578826
02-04-2020,3,-0.270578826
03-04-2020,3,-0.270578826
04-04-2020,3,-0.270578826
05-04-2020,3,-0.270578826
06-04-2020,3,-0.270578826
07-04-2020,3,-0.270578826
08-04-2020,3,-0.270578826
09-04-2020,3,-0.270578826
10-04-2020,3,-0.270578826
11-04-2020,3,-0.258665203
12-04-2020,3,-0.24675158
13-04-2020,3,-0.234837957
14-04-2020,2,-0.222924334
15-04-2020,2,-0.211010711
16-04-2020,2,-0.199097088
17-04-2020,2,-0.187183465
18-04-2020,2,-0.187183465
19-04-2020,2,-0.187183465
20-04-2020,2,-0.187183465
21-04-2020,2,-0.187183465
22-04-2020,2,-0.187183465
23-04-2020,2,-0.187183465
24-04-2020,2,-0.187183465
25-04-2020,2,-0.187183465
26-04-2020,2,-0.187183465
27-04-2020,2,-0.187183465
28-04-2020,2,-0.187183465
29-04-2020,2,-0.187183465
30-04-2020,2,-0.187183465
01-05-2020,2,-0.187183465
02-05-2020,2,-0.187183465
03-05-2020,2,-0.187183465
04-05-2020,2,-0.187183465
05-05-2020,2,-0.187183465
06-05-2020,2,-0.187183465
07-05-2020,2,-0.187183465
08-05-2020,2,-0.187183465
09-05-2020,2,-0.187183465
10-05-2020,2,-0.187183465
11-05-2020,2,-0.187183465
12-05-2020,2,-0.187183465
13-05-2020,2,-0.187183465
14-05-2020,2,-0.187183465
15-05-2020,2,-0.167957616
16-05-2020,2,-0.148731766
17-05-2020,2,-0.129505916
18-05-2020,1,-0.110280066
19-05-2020,1,-0.091054217
20-05-2020,1,-0.071828367
21-05-2020,1,-0.052602517
22-05-2020,1,-0.052602517
23-05-2020,1,-0.052602517
24-05-2020,1,-0.052602517
25-05-2020,1,-0.052602517
26-05-2020,1,-0.052602517
27-05-2020,1,-0.052602517
28-05-2020,1,-0.052602517
29-05-2020,1,-0.052602517
30-05-2020,1,-0.052602517
31-05-2020,1,-0.052602517
01-06-2020,1,-0.052602517
02-06-2020,1,-0.052602517
03-06-2020,1,-0.052602517
04-06-2020,1,-0.052602517
05-06-2020,1,-0.052602517
06-06-2020,1,-0.052602517
07-06-2020,1,-0.052602517
08-06-2020,1,-0.052602517
09-06-2020,1,-0.052602517
10-06-2020,1,-0.052602517
11-06-2020,1,-0.052602517
