City;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio
Ancona;17,6;32,6;28,9;33,2;19,3;7,2
Asti;32,7;18,6;11,7;13,2;14,0;19,2
Avellino;23,6;14,1;8,8;10,7;13,0;13,4
Bari;17,1;10,9;6,8;7,5;9,1;9,5
Barletta;10,9;7,9;4,9;6,1;6,3;6,7
Benevento;20,0;11,0;6,8;8,0;9,1;11,6
Bergamo;37,6;21,1;14,4;16,6;16,1;15,3
Biella;20,7;12,4;8,7;9,1;9,6;11,0
Bologna;36,1;24,0;14,0;16,8;16,1;19,5
Bolzano;45,1;25,4;16,2;17,7;17,3;18,5
Brescia;46,5;24,0;15,5;21,4;24,9;23,9
Busto Arsizio;33,8;21,1;13,7;13,7;13,5;20,9
Cagliari;23,5;13,8;9,1;13,5;13,6;12,4
Campobasso;15,5;14,5;11,1;9,3;;
Carrara;18,6;13,9;7,9;7,9;7,1;8,9
Caserta;24,9;11,8;6,8;9,8;41,2;47,4
Catanzaro;17,9;13,0;8,7;12,0;13,1;12,1
Como;46,9;22,3;12,6;15,3;20,1;22,7
Cosenza;26,5;17,3;9,3;11,4;9,7;10,6
Cremona;37,5;23,1;15,8;15,6;17,7;19,4
Ferrara;33,0;17,8;10,4;12,5;14,2;13,7
Firenze;46,1;24,7;13,1;19,4;22,1;24,4
Foggia;14,2;10,9;8,5;7,2;8,8;6,9
Forlì;28,9;14,4;5,8;10,9;13,4;12,2
Latina;34,9;17,5;10,1;11,8;12,7;15,4
Lecce;10,6;5,9;8,3;4,7;5,8;5,1
Lecco;38,1;22,1;14,1;17,9;18,0;20,8
Livorno;30,1;19,4;13,6;13,9;16,9;18,7
Massa;21,8;15,3;9,8;9,7;8,6;10,4
Messina;19,4;;;;;
Milano;53,3;33,0;21,4;22,4;23,7;24,9
Modena;45,5;26,2;15,2;17,4;17,7;21,2
Napoli;31,1;20,2;13,0;19,3;21,6;20,0
Novara;47,2;28,4;18,7;16,3;17,4;18,9
Padova;37,9;23,6;17,3;15,6;15,3;
Palermo;39,9;24,8;25,3;;;
Parma;37,9;22,2;13,5;14,1;13,4;14,1
Pavia;42,3;25,8;18,0;17,8;18,7;17,4
Perugia;26,1;11,2;9,4;10,1;12,5;13,8
Pesaro;26,9;18,8;22,4;21,8;26,8;24,2
Pescara;36,2;13,9;8,5;11,5;13,6;14,1
Piacenza;33,1;21,4;11,2;14,5;14,0;16,0
Pisa;33,4;18,0;10,4;11,3;11,9;12,9
Pordenone;15,6;10,3;6,8;6,8;7,3;7,9
Prato;40,8;22,7;15,1;14,5;17,8;15,9
Ravenna;31,2;18,3;11,2;13,5;14,6;17,3
Reggio di Calabria;12,6;7,3;3,9;9,9;15,9;14,4
Reggio nell'Emilia;36,7;21,9;11,6;13,8;15,2;16,6
Rimini;38,6;15,8;15,3;18,5;19,3;17,7
Roma;43,6;24,3;17,1;21,2;23,2;25,9
Salerno;27,2;18,8;10,9;14,6;18,1;17,3
Sassari;20,6;10,4;7,2;8,4;9,1;9,8
Siracusa;19,7;8,7;5,6;7,0;10,5;6,3
Taranto;8,7;5,8;3,5;5,1;6,0;6,1
Terni;33,2;16,4;10,8;12,2;11,1;12,3
Torino;57,4;32,5;22,1;24,4;24,4;25,7
Trento;50,9;26,0;16,6;18,2;20,9;18,9
Treviso;35,0;17,8;12,5;14,0;14,9;
Trieste;18,3;9,1;6,8;6,3;7,8;7,1
Udine;17,7;8,0;4,0;6,8;5,7;5,5
Varese;38,1;21,1;8,8;15,2;15,2;15,6
Venezia;37,8;22,2;14,0;12,2;13,2;
Verona;35,9;21,1;11,7;12,8;13,3;
Viareggio;30,2;19,6;8,5;10,3;10,8;13,0
Vicenza;38,9;23,2;15,3;16,2;17,5;
Vigevano;35,9;25,1;13,5;10,1;12,2;12,3
